time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1773322296.46448874,0.02323074,6272,0.00061236,0.00000000,0,0.00000000,12678,12640,81,0.00377516
1773322296.56458640,0.01795292,6195,0.00067239,0.00000000,0,0.00000000,12640,12666,128,0.00095485
1773322296.66449738,0.01655331,6197,0.00066859,0.00000000,0,0.00000000,12666,12680,121,0.00141959
1773322296.76494050,0.01559496,6198,0.00103044,0.00000000,0,0.00000000,12680,12572,112,0.00270994
1773322296.86440611,0.01393487,6233,0.00044222,0.00000000,0,0.00000000,12572,12618,105,0.00144161
1773322296.96481824,0.01221280,6206,0.00035395,0.00000000,0,0.00000000,12618,12639,90,0.00088879
1773322297.06467795,0.01010592,6242,0.00028188,0.00000000,0,0.00000000,12639,12691,81,0.00152045
1773322297.16563249,0.01781425,6234,0.00056855,0.00000000,0,0.00000000,12691,12706,88,0.00308677
1773322297.26562333,0.01654917,6228,0.00033654,0.00000000,0,0.00000000,12706,12762,82,0.00114294
1773322297.36555743,0.02007244,6195,0.00049028,0.00000000,0,0.00000000,12762,12839,89,0.00090172
1773322297.46547890,0.01377411,6198,0.00027476,0.00000000,0,0.00000000,12839,12840,66,0.00085646
1773322297.56448412,0.01190088,6251,0.00033357,0.00000000,0,0.00000000,12840,12859,74,0.00096842
1773322297.66537666,0.01650621,6239,0.00113673,0.00000000,0,0.00000000,12859,12875,97,0.00084201
1773322297.76533318,0.01557717,6269,0.00086899,0.00000000,0,0.00000000,12875,12847,97,0.00271964
1773322297.86528516,0.01919287,6219,0.00040068,0.00000000,0,0.00000000,12847,12904,100,0.00165156
1773322297.96523476,0.01850766,6230,0.00080860,0.00000000,0,0.00000000,12904,12747,83,0.00197022
1773322298.06513548,0.01348829,6247,0.00046484,0.00000000,0,0.00000000,12747,12737,93,0.00188424
1773322298.16508555,0.01818537,6238,0.00038174,0.00000000,0,0.00000000,12737,12791,82,0.00108163
1773322298.26515436,0.02045854,6209,0.00055325,0.00000000,0,0.00000000,12791,12813,77,0.00163716
1773322298.36494207,0.01638406,6246,0.00103673,0.00000000,0,0.00000000,12813,12850,70,0.00084289
1773322298.46499801,0.01287534,6227,0.00034716,0.00000000,0,0.00000000,12850,12874,66,0.00086055
1773322298.56492829,0.01331107,6235,0.00028561,0.00000000,0,0.00000000,12874,12921,72,0.00100025
1773322298.66486740,0.01397393,6233,0.00036687,0.00000000,0,0.00000000,12921,12956,61,0.00307111
1773322298.76464009,0.01864811,6244,0.00024581,0.00000000,0,0.00000000,12956,12977,63,0.00244760
1773322298.86455011,0.01833667,6264,0.00047258,0.00000000,0,0.00000000,12977,13002,58,0.00121807
1773322298.96453452,0.02173982,6275,0.00032836,0.00000000,0,0.00000000,13002,13022,57,0.00087129
1773322299.06451082,0.02099506,6241,0.00040017,0.00000000,0,0.00000000,13022,13032,63,0.00083913
1773322299.16448855,0.01400671,6278,0.00025802,0.00000000,0,0.00000000,13032,13051,52,0.00148429
1773322299.26479506,0.01743947,6266,0.00043362,0.00000000,0,0.00000000,13051,13068,43,0.00088782
1773322299.36443734,0.01206543,6277,0.00022804,0.00000000,0,0.00000000,13068,13053,53,0.00130643
1773322299.46490598,0.01111725,6304,0.00023481,0.00000000,0,0.00000000,13053,13083,44,0.00314657
1773322299.56498814,0.01377918,6273,0.00062310,0.00000000,0,0.00000000,13083,13100,53,0.00181940
1773322299.66514874,0.01789853,6301,0.00017661,0.00000000,0,0.00000000,13100,13096,36,0.00165568
1773322299.76500010,0.01791948,6242,0.00034549,0.00000000,0,0.00000000,13096,13118,46,0.00093643
1773322299.86583805,0.01315715,6274,0.00025641,0.00000000,0,0.00000000,13118,13154,67,0.00159602
1773322299.96576810,0.01536138,6236,0.00025264,0.00000000,0,0.00000000,13154,13137,48,0.00178152
1773322300.06572056,0.01648229,6285,0.00032705,0.00000000,0,0.00000000,13137,13148,54,0.00158826
1773322300.16563010,0.02323861,6282,0.00073033,0.00000000,0,0.00000000,13148,13075,43,0.00092115
1773322300.26557183,0.02407456,6287,0.00086665,0.00000000,0,0.00000000,13075,13082,54,0.00211719
1773322300.36450529,0.01624228,6272,0.00050938,0.00000000,0,0.00000000,13082,13107,51,0.00130002
1773322300.46444535,0.02602413,6312,0.00100855,0.00000000,0,0.00000000,13107,13055,44,0.00136726
1773322300.56548238,0.02530062,6279,0.00086702,0.00000000,0,0.00000000,13055,13035,52,0.00189712
1773322300.66541457,0.02141034,6266,0.00025613,0.00000000,0,0.00000000,13035,13048,41,0.00178873
1773322300.76546955,0.02188007,6280,0.00051228,0.00000000,0,0.00000000,13048,13043,42,0.00088506
1773322300.86533928,0.01603241,6259,0.00032630,0.00000000,0,0.00000000,13043,13081,51,0.00096550
